population_size,trait_prob,trait_2_prob,trait_link,payoff_bonus,filename
100,0.1,0.1,0.05,1,output_100_0.1_0.1_0.05_1.svg
100,0.1,0.1,0.5,1,output_100_0.1_0.1_0.5_1.svg
100,0.1,0.5,0.05,10,output_100_0.1_0.5_0.05_10.svg
100,0.1,0.5,0.5,1,output_100_0.1_0.5_0.5_1.svg
100,0.5,0.1,0.05,1,output_100_0.5_0.1_0.05_1.svg
100,0.5,0.1,0.5,10,output_100_0.5_0.1_0.5_10.svg
100,0.5,0.5,0.05,1,output_100_0.5_0.5_0.05_1.svg
100,0.5,0.5,0.5,1,output_100_0.5_0.5_0.5_1.svg
100,1.0,0.1,0.05,10,output_100_1.0_0.1_0.05_10.svg
100,1.0,0.1,0.5,1,output_100_1.0_0.1_0.5_1.svg
100,1.0,0.5,0.05,1,output_100_1.0_0.5_0.05_1.svg
100,1.0,0.5,0.5,10,output_100_1.0_0.5_0.5_10.svg
1000,0.1,0.1,0.05,1,output_1000_0.1_0.1_0.05_1.svg
1000,0.1,0.1,0.5,1,output_1000_0.1_0.1_0.5_1.svg
1000,0.1,0.5,0.05,10,output_1000_0.1_0.5_0.05_10.svg
1000,0.1,0.5,0.5,1,output_1000_0.1_0.5_0.5_1.svg
1000,0.5,0.1,0.05,1,output_1000_0.5_0.1_0.05_1.svg
1000,0.5,0.1,0.5,10,output_1000_0.5_0.1_0.5_10.svg
1000,0.5,0.5,0.05,1,output_1000_0.5_0.5_0.05_1.svg
1000,0.5,0.5,0.5,1,output_1000_0.5_0.5_0.5_1.svg
1000,1.0,0.1,0.05,10,output_1000_1.0_0.1_0.05_10.svg
1000,1.0,0.1,0.5,1,output_1000_1.0_0.1_0.5_1.svg
1000,1.0,0.5,0.05,1,output_1000_1.0_0.5_0.05_1.svg
1000,1.0,0.5,0.5,10,output_1000_1.0_0.5_0.5_10.svg
